stream,scen,cca,run,data,duration,goodput,buffer,rtt
NewReno,4.10M,NewReno,1,209715200,2.259871,742397066,10,1
Cubic,4.10M,Cubic,1,209715200,9.830104,170671805,10,1
Yeah,4.10M,Yeah,1,209715200,6.784704,247279999,10,1
Westwood,4.10M,Westwood,1,209715200,6.914604,242634516,10,1
Vegas,4.10M,Vegas,1,209715200,10.768604,155797501,10,1
BBR,4.10M,BBR,1,209715200,12.796304,131109857,10,1
NewReno,4.10M,NewReno,2,209715200,2.262071,741675040,10,1
Cubic,4.10M,Cubic,2,209715200,9.818104,170880406,10,1
Yeah,4.10M,Yeah,2,209715200,6.747504,248643290,10,1
Westwood,4.10M,Westwood,2,209715200,6.906704,242912046,10,1
Vegas,4.10M,Vegas,2,209715200,10.623104,157931391,10,1
BBR,4.10M,BBR,2,209715200,14.869104,112832730,10,1
NewReno,4.10M,NewReno,3,209715200,2.271671,738540748,10,1
Cubic,4.10M,Cubic,3,209715200,9.891304,169615816,10,1
Yeah,4.10M,Yeah,3,209715200,6.812304,246278146,10,1
Westwood,4.10M,Westwood,3,209715200,6.943704,241617672,10,1
Vegas,4.10M,Vegas,3,209715200,10.668804,157254890,10,1
BBR,4.10M,BBR,3,209715200,12.112104,138516115,10,1
NewReno,4.10M,NewReno,4,209715200,2.273671,737891102,10,1
Cubic,4.10M,Cubic,4,209715200,9.906404,169357276,10,1
Yeah,4.10M,Yeah,4,209715200,6.831504,245585979,10,1
Westwood,4.10M,Westwood,4,209715200,6.968804,240747422,10,1
Vegas,4.10M,Vegas,4,209715200,10.669504,157244572,10,1
BBR,4.10M,BBR,4,209715200,13.950204,120265022,10,1
NewReno,4.10M,NewReno,5,209715200,2.272671,738215782,10,1
Cubic,4.10M,Cubic,5,209715200,9.895404,169545538,10,1
Yeah,4.10M,Yeah,5,209715200,6.804404,246564078,10,1
Westwood,4.10M,Westwood,5,209715200,6.963904,240916819,10,1
Vegas,4.10M,Vegas,5,209715200,10.631904,157800672,10,1
BBR,4.10M,BBR,5,209715200,15.181404,110511623,10,1
